Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-05-05 00:00:00+05:30,1041.8211028311687,1049.581250235382,1030.8194568287804,1041.133544921875,12194631,0.0,0.0
2026-05-06 00:00:00+05:30,1053.019301365762,1081.6040364042549,1042.4104768585712,1076.5943603515625,14384779,0.0,0.0
2026-05-07 00:00:00+05:30,1086.4172785832332,1088.381866790436,1066.8696019397742,1072.6651611328125,16105163,0.0,0.0
2026-05-08 00:00:00+05:30,1070.7005210892246,1075.6119913694504,993.0010852378409,1001.2523193359375,48065909,0.0,0.0
2026-05-11 00:00:00+05:30,989.1701581334676,989.1701581334676,953.9057759818752,956.3615112304688,46927396,0.0,0.0
2026-05-12 00:00:00+05:30,959.6031354409057,964.0234589147167,945.3598709141811,957.3438110351562,25787092,0.0,0.0
2026-05-13 00:00:00+05:30,960.6836091187947,963.8269621620207,944.1810805849492,952.9234619140625,17584580,0.0,0.0
2026-05-14 00:00:00+05:30,956.2632817330172,969.5242517416415,946.5385464115705,962.5499877929688,16487142,0.0,0.0
2026-05-15 00:00:00+05:30,971.2000122070312,972.5,957.0,963.2000122070312,26972493,17.35,0.0
2026-05-18 00:00:00+05:30,952.0,954.9000244140625,933.9000244140625,939.4000244140625,16554877,0.0,0.0
2026-05-19 00:00:00+05:30,942.0,956.5999755859375,939.5,948.7999877929688,17280869,0.0,0.0
2026-05-20 00:00:00+05:30,941.0999755859375,955.0,935.0,950.9000244140625,11928460,0.0,0.0
2026-05-21 00:00:00+05:30,957.0,960.9000244140625,946.5,950.9000244140625,11756520,0.0,0.0
2026-05-22 00:00:00+05:30,950.9000244140625,958.5999755859375,947.7000122070312,949.2000122070312,7807192,0.0,0.0
2026-05-25 00:00:00+05:30,959.9000244140625,972.5,957.5,969.5999755859375,10934747,0.0,0.0
2026-05-26 00:00:00+05:30,969.9000244140625,978.7999877929688,962.0999755859375,968.5,16269800,0.0,0.0
2026-05-27 00:00:00+05:30,969.7999877929688,975.9000244140625,966.5999755859375,967.7999877929688,8111259,0.0,0.0
2026-05-28 00:00:00+05:30,967.7999877929688,967.7999877929688,967.7999877929688,967.7999877929688,0,0.0,0.0
2026-05-29 00:00:00+05:30,967.7999877929688,973.7000122070312,960.2999877929688,964.4000244140625,22292535,0.0,0.0
2026-06-01 00:00:00+05:30,966.25,970.25,950.0999755859375,954.0999755859375,11118975,0.0,0.0
2026-06-02 00:00:00+05:30,950.9500122070312,961.2999877929688,939.9000244140625,956.6500244140625,15911760,0.0,0.0
2026-06-03 00:00:00+05:30,953.75,974.0,937.2000122070312,970.4500122070312,27947005,0.0,0.0
2026-06-04 00:00:00+05:30,969.9000244140625,985.7999877929688,961.0999755859375,979.25,18875883,0.0,0.0
2026-06-05 00:00:00+05:30,980.0,992.5999755859375,970.5999755859375,977.7000122070312,20955539,0.0,0.0
