Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-05-05 00:00:00+05:30,29069.849609375,29407.0,28889.44921875,29107.30078125,26800,0.0,0.0
2026-05-06 00:00:00+05:30,29435.5,29646.05078125,29123.80078125,29267.94921875,59000,0.0,0.0
2026-05-07 00:00:00+05:30,29377.80078125,29418.0,29009.400390625,29043.5,49600,0.0,0.0
2026-05-08 00:00:00+05:30,29031.55078125,29490.599609375,28961.80078125,29394.19921875,42300,0.0,0.0
2026-05-11 00:00:00+05:30,29323.400390625,29536.900390625,29274.05078125,29329.44921875,28900,0.0,0.0
2026-05-12 00:00:00+05:30,29091.05078125,29091.05078125,28126.900390625,28234.900390625,63000,0.0,0.0
2026-05-13 00:00:00+05:30,28226.80078125,28335.44921875,27880.75,27916.650390625,35100,0.0,0.0
2026-05-14 00:00:00+05:30,27847.5,27856.0,27078.0,27360.349609375,54500,0.0,0.0
2026-05-15 00:00:00+05:30,27472.650390625,28114.099609375,27472.650390625,27716.900390625,53300,0.0,0.0
2026-05-18 00:00:00+05:30,27689.599609375,28466.099609375,27663.80078125,28389.80078125,47300,0.0,0.0
2026-05-19 00:00:00+05:30,28679.849609375,29609.599609375,28677.80078125,29308.0,86700,0.0,0.0
2026-05-20 00:00:00+05:30,29140.80078125,29517.150390625,29036.650390625,29185.150390625,44300,0.0,0.0
2026-05-21 00:00:00+05:30,29277.94921875,29328.349609375,28964.94921875,29021.099609375,38600,0.0,0.0
2026-05-22 00:00:00+05:30,29072.599609375,29181.94921875,28792.5,28912.5,58200,0.0,0.0
2026-05-25 00:00:00+05:30,29103.650390625,29177.80078125,28831.30078125,28979.849609375,86100,0.0,0.0
2026-05-26 00:00:00+05:30,28970.5,29203.099609375,28919.05078125,28978.5,64100,0.0,0.0
2026-05-27 00:00:00+05:30,28928.900390625,29116.400390625,28800.900390625,28906.69921875,54100,0.0,0.0
2026-05-29 00:00:00+05:30,29347.5,29747.19921875,28931.75,29080.150390625,192800,0.0,0.0
2026-06-01 00:00:00+05:30,29349.19921875,30238.150390625,29341.599609375,29854.25,73300,0.0,0.0
2026-06-02 00:00:00+05:30,30265.69921875,31290.94921875,30264.599609375,31116.55078125,116100,0.0,0.0
2026-06-03 00:00:00+05:30,30563.19921875,30567.0,29301.0,29384.44921875,112300,0.0,0.0
2026-06-04 00:00:00+05:30,29150.05078125,29382.900390625,28971.80078125,29300.599609375,66000,0.0,0.0
2026-06-05 00:00:00+05:30,29509.94921875,29639.80078125,28918.849609375,29010.30078125,65200,0.0,0.0
