Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-05-05 00:00:00+05:30,26033.150390625,26253.19921875,25805.80078125,26192.099609375,425300,0.0,0.0
2026-05-06 00:00:00+05:30,26502.150390625,26871.900390625,26278.94921875,26823.0,708700,0.0,0.0
2026-05-07 00:00:00+05:30,26983.150390625,27533.19921875,26878.150390625,27339.94921875,949100,0.0,0.0
2026-05-08 00:00:00+05:30,27244.80078125,27392.150390625,27082.599609375,27259.849609375,461100,0.0,0.0
2026-05-11 00:00:00+05:30,26874.19921875,26978.0,26600.69921875,26753.400390625,441100,0.0,0.0
2026-05-12 00:00:00+05:30,26700.0,26794.099609375,26091.44921875,26142.599609375,522700,0.0,0.0
2026-05-13 00:00:00+05:30,26140.5,26296.80078125,25842.150390625,25888.94921875,582800,0.0,0.0
2026-05-14 00:00:00+05:30,26092.69921875,26117.099609375,25603.150390625,26049.69921875,696000,0.0,0.0
2026-05-15 00:00:00+05:30,26131.349609375,26357.900390625,25967.150390625,26070.69921875,1044400,0.0,0.0
2026-05-18 00:00:00+05:30,25909.30078125,25921.099609375,25486.400390625,25624.30078125,568000,0.0,0.0
2026-05-19 00:00:00+05:30,25680.44921875,25962.150390625,25520.900390625,25698.80078125,707400,0.0,0.0
2026-05-20 00:00:00+05:30,25538.900390625,26007.349609375,25325.599609375,25914.349609375,987500,0.0,0.0
2026-05-21 00:00:00+05:30,26147.69921875,26235.19921875,25901.0,25986.25,1062100,0.0,0.0
2026-05-22 00:00:00+05:30,26045.849609375,26215.19921875,25980.599609375,26017.099609375,681700,0.0,0.0
2026-05-25 00:00:00+05:30,26400.44921875,26655.599609375,26319.599609375,26463.05078125,648200,0.0,0.0
2026-05-26 00:00:00+05:30,26457.69921875,26605.900390625,26362.05078125,26480.5,661000,0.0,0.0
2026-05-27 00:00:00+05:30,26509.25,26976.55078125,26473.75,26864.19921875,966100,0.0,0.0
2026-05-29 00:00:00+05:30,26915.400390625,27033.599609375,26210.19921875,26338.44921875,2282200,0.0,0.0
2026-06-01 00:00:00+05:30,26439.19921875,26548.099609375,25830.19921875,25891.900390625,935300,0.0,0.0
2026-06-02 00:00:00+05:30,25595.05078125,26135.30078125,25581.150390625,26079.44921875,922500,0.0,0.0
2026-06-03 00:00:00+05:30,26069.19921875,26215.30078125,25881.599609375,26092.80078125,864300,0.0,0.0
2026-06-04 00:00:00+05:30,25981.25,26447.349609375,25897.349609375,26144.349609375,628100,0.0,0.0
2026-06-05 00:00:00+05:30,26279.94921875,26349.900390625,25997.75,26165.94921875,521300,0.0,0.0
