Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-05-05 00:00:00+05:30,54691.30078125,54888.55078125,54221.6484375,54547.05078125,379800,0.0,0.0
2026-05-06 00:00:00+05:30,55113.3984375,56078.80078125,54587.19921875,55981.05078125,653300,0.0,0.0
2026-05-07 00:00:00+05:30,56114.0,56334.1484375,55783.19921875,56047.3984375,463500,0.0,0.0
2026-05-08 00:00:00+05:30,55783.94921875,55797.69921875,55062.5,55310.55078125,429500,0.0,0.0
2026-05-11 00:00:00+05:30,54832.44921875,55002.44921875,54360.69921875,54439.8984375,486800,0.0,0.0
2026-05-12 00:00:00+05:30,54178.3984375,54365.44921875,53457.5,53555.19921875,364400,0.0,0.0
2026-05-13 00:00:00+05:30,53600.3984375,54103.8984375,53194.25,53456.1484375,305900,0.0,0.0
2026-05-14 00:00:00+05:30,53639.5,54393.75,53191.6015625,54128.94921875,311800,0.0,0.0
2026-05-15 00:00:00+05:30,54207.75,54325.44921875,53628.30078125,53710.3515625,315100,0.0,0.0
2026-05-18 00:00:00+05:30,53282.1484375,53667.55078125,52783.44921875,53537.0,311800,0.0,0.0
2026-05-19 00:00:00+05:30,53553.75,53770.6484375,53337.05078125,53409.1484375,267800,0.0,0.0
2026-05-20 00:00:00+05:30,53015.69921875,53640.8984375,52836.1015625,53562.19921875,221400,0.0,0.0
2026-05-21 00:00:00+05:30,53963.1015625,54109.1484375,53156.1484375,53439.3984375,285500,0.0,0.0
2026-05-22 00:00:00+05:30,53483.8515625,54213.05078125,53483.55078125,54055.3515625,229300,0.0,0.0
2026-05-25 00:00:00+05:30,54610.55078125,55405.19921875,54590.69921875,55293.6484375,262400,0.0,0.0
2026-05-26 00:00:00+05:30,55311.80078125,55536.80078125,54979.75,55092.8984375,321300,0.0,0.0
2026-05-27 00:00:00+05:30,54992.94921875,55221.69921875,54738.6015625,54853.8515625,268100,0.0,0.0
2026-05-29 00:00:00+05:30,54748.30078125,55184.44921875,54116.1484375,54239.19921875,1042600,0.0,0.0
2026-06-01 00:00:00+05:30,54403.8515625,54582.75,53470.0,53643.1015625,322900,0.0,0.0
2026-06-02 00:00:00+05:30,53265.1015625,53933.55078125,53121.8515625,53714.6484375,406400,0.0,0.0
2026-06-03 00:00:00+05:30,53541.1015625,54299.3515625,53027.1484375,54185.94921875,339100,0.0,0.0
2026-06-04 00:00:00+05:30,53918.8515625,54461.0,53829.3984375,54307.8515625,273700,0.0,0.0
2026-06-05 00:00:00+05:30,54405.19921875,54865.5,54140.6015625,54496.25,369000,0.0,0.0
