Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-05-05 00:00:00+05:30,23525.900390625,23619.0,23379.099609375,23568.94921875,38038600,0.0,0.0
2026-05-06 00:00:00+05:30,23743.19921875,24264.849609375,23640.75,24110.30078125,58097200,0.0,0.0
2026-05-07 00:00:00+05:30,24153.150390625,24268.099609375,24095.30078125,24135.5,74338300,0.0,0.0
2026-05-08 00:00:00+05:30,24043.44921875,24306.75,24030.650390625,24110.30078125,27481400,0.0,0.0
2026-05-11 00:00:00+05:30,24008.19921875,24310.80078125,23877.400390625,24170.44921875,46305700,0.0,0.0
2026-05-12 00:00:00+05:30,24177.30078125,24185.44921875,23816.400390625,23840.900390625,34126100,0.0,0.0
2026-05-13 00:00:00+05:30,23785.349609375,24177.849609375,23768.900390625,23896.05078125,43650100,0.0,0.0
2026-05-14 00:00:00+05:30,24151.650390625,24573.30078125,24137.75,24551.05078125,42179500,0.0,0.0
2026-05-15 00:00:00+05:30,24644.94921875,24847.900390625,24557.55078125,24634.80078125,31052200,0.0,0.0
2026-05-18 00:00:00+05:30,24617.0,24788.94921875,24436.25,24762.849609375,29483900,0.0,0.0
2026-05-19 00:00:00+05:30,24771.30078125,25001.25,24754.30078125,24867.400390625,29843800,0.0,0.0
2026-05-20 00:00:00+05:30,24807.05078125,25043.150390625,24775.44921875,24843.150390625,38875300,0.0,0.0
2026-05-21 00:00:00+05:30,24994.099609375,25001.0,24782.650390625,24890.900390625,20989500,0.0,0.0
2026-05-22 00:00:00+05:30,24960.75,24979.099609375,24519.75,24573.94921875,23647500,0.0,0.0
2026-05-25 00:00:00+05:30,24615.150390625,24762.900390625,24543.75,24674.69921875,26832300,0.0,0.0
2026-05-26 00:00:00+05:30,24647.25,24755.400390625,24552.55078125,24659.19921875,25959100,0.0,0.0
2026-05-27 00:00:00+05:30,24747.5,24822.650390625,24608.44921875,24716.0,17241100,0.0,0.0
2026-05-29 00:00:00+05:30,24796.30078125,24945.349609375,24218.5,24345.80078125,69261300,0.0,0.0
2026-06-01 00:00:00+05:30,24547.849609375,24571.349609375,24148.849609375,24214.25,35327000,0.0,0.0
2026-06-02 00:00:00+05:30,24102.94921875,24171.55078125,23796.650390625,24006.30078125,29548000,0.0,0.0
2026-06-03 00:00:00+05:30,23978.05078125,24119.75,23829.599609375,24086.599609375,27592000,0.0,0.0
2026-06-04 00:00:00+05:30,24042.0,24275.30078125,23883.0,24177.94921875,21304400,0.0,0.0
2026-06-05 00:00:00+05:30,24285.44921875,24396.650390625,24154.25,24248.05078125,19109400,0.0,0.0
