Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-05-05 00:00:00+05:30,51249.8515625,51642.69921875,51036.25,51593.55078125,51300,0.0,0.0
2026-05-06 00:00:00+05:30,51898.8515625,51947.3515625,51194.69921875,51460.55078125,46700,0.0,0.0
2026-05-07 00:00:00+05:30,51485.44921875,51504.94921875,51000.1015625,51068.44921875,51000,0.0,0.0
2026-05-08 00:00:00+05:30,51107.55078125,51320.1484375,50756.8515625,51165.8984375,48800,0.0,0.0
2026-05-11 00:00:00+05:30,51118.1484375,51444.1484375,50870.3984375,51205.6484375,51500,0.0,0.0
2026-05-12 00:00:00+05:30,51019.80078125,51237.19921875,50396.5,50453.8984375,37400,0.0,0.0
2026-05-13 00:00:00+05:30,50541.1484375,50917.1015625,50397.0,50604.8515625,35700,0.0,0.0
2026-05-14 00:00:00+05:30,50727.5,51061.05078125,50513.6484375,50779.1484375,27700,0.0,0.0
2026-05-15 00:00:00+05:30,50848.8515625,51440.19921875,50776.5,51051.3515625,39200,0.0,0.0
2026-05-18 00:00:00+05:30,50973.80078125,50987.05078125,50344.1015625,50900.1015625,34000,0.0,0.0
2026-05-19 00:00:00+05:30,50920.19921875,51467.6484375,50800.3515625,50883.3515625,41400,0.0,0.0
2026-05-20 00:00:00+05:30,50564.69921875,50657.69921875,50313.3515625,50520.55078125,31600,0.0,0.0
2026-05-21 00:00:00+05:30,50800.80078125,50901.6015625,50138.1015625,50263.55078125,46100,0.0,0.0
2026-05-22 00:00:00+05:30,50308.5,50520.1484375,50035.25,50249.80078125,62000,0.0,0.0
2026-05-25 00:00:00+05:30,50572.80078125,50721.1015625,50062.1484375,50157.75,38400,0.0,0.0
2026-05-26 00:00:00+05:30,50223.80078125,50300.44921875,50030.1015625,50227.3515625,57300,0.0,0.0
2026-05-27 00:00:00+05:30,50320.75,50467.5,50053.8984375,50141.8984375,39400,0.0,0.0
2026-05-29 00:00:00+05:30,49956.19921875,50245.55078125,49083.44921875,49383.3515625,120400,0.0,0.0
2026-06-01 00:00:00+05:30,49474.55078125,49571.6484375,48127.5,48247.69921875,43900,0.0,0.0
2026-06-02 00:00:00+05:30,47996.3984375,48668.6484375,47867.6484375,48612.80078125,49600,0.0,0.0
2026-06-03 00:00:00+05:30,48617.30078125,48617.30078125,47922.80078125,48123.94921875,52500,0.0,0.0
2026-06-04 00:00:00+05:30,48067.94921875,48538.1015625,47851.25,48216.0,43800,0.0,0.0
2026-06-05 00:00:00+05:30,48277.69921875,48369.25,48026.3984375,48302.44921875,34400,0.0,0.0
